Planet Name,Discovery Year,Orbital Period (days),SemiMajor Axis (AU),Spectral_Type,Mass (Earth Mass),Temperature,Stellar_Luminosity,Right Ascension (RA),Declination (Dec),radius,density,Ri (AU),Ro (AU),Habitable Zone
HD 82886 b,2011,705,1,G0,740,4679,13,143,34,13,1,3.554705755900266,5.121085953550104,No
HD 82943 b,2003,441,1,G2/3V,534,5661,1,143,-12,13,1,1.1920752121790705,1.7173628547264708,No
HD 83443 b,2002,2,0,K0 V,127,5168,0,144,-43,14,0,0.845870068302508,1.2186025012400425,No
HD 29399 b,2022,892,1,K1 III,498,4571,10,68,-62,13,1,3.02206400010203,4.353735741970694,No
HD 22781 b,2011,528,1,K1,4338,4753,0,55,31,12,12,0.5511929541920987,0.794075990881575,No
HD 231701 b,2007,141,0,F8 V,359,5827,2,293,16,13,0,1.6379613789059932,2.359728648721491,No
HD 25171 b,2010,1802,2,F8 V,290,5851,1,58,-65,13,0,1.3100976192275602,1.8873918057688956,No
HD 6434 b,2003,21,0,G2/3 V,155,5495,1,16,-39,14,0,1.0099587994755768,1.4549968905510204,No
HD 7924 b,2008,5,0,K0.5 V,6,4857,0,20,76,2,2,0.5974528778676721,0.8607203382945949,No
HD 81688 b,2007,184,0,G5,858,4479,71,142,45,13,2,8.087301932399386,11.650969495684778,No
HD 9446 b,2009,30,0,G5 V,222,5519,1,23,29,14,0,0.9995480066839852,1.4399985845331886,No
GJ 179 b,2009,2288,2,M3.5 V,301,3096,0,73,6,13,0,0.1205878792572857,0.17372489793504248,No
pi Men c,2018,6,0,G0 V,3,5763,1,84,-80,2,2,1.1463141607882066,1.651437207544996,No
HD 23472 d,2022,3,0,K4 V,0,4410,0,55,-62,0,7,0.46430531742316195,0.6689013388148037,No
HD 94834 b,2018,1576,2,K0,400,4524,9,164,24,13,0,2.9909121529926948,4.308856841264508,No
KIC 5095269 b,2017,237,0,F7 V,2445,6032,4,290,40,12,6,2.057328571280902,2.963889888983411,No
Kepler-101 c,2014,6,0,G3 IV,3,5393,2,283,48,1,10,1.5463352546924913,2.2277274959090088,No
Kepler-120 b,2014,6,0,M0 V,8,3822,0,287,39,2,4,0.4373243480911118,0.6300312121298639,No
